,week,game_id,away_team,away_score,home_team,home_score
0,1,0,BUF,31,LAR,10
1,1,1,BAL,24,NYJ,9
2,1,2,CLE,26,CAR,24
3,1,3,IND,20,HOU,20
4,1,4,JAC,22,WAS,28
5,1,5,NE,7,MIA,20
6,1,6,NO,27,ATL,26
7,1,7,PHI,38,DET,35
8,1,8,PIT,23,CIN,20
9,1,9,SF,10,CHI,19
10,1,10,GB,7,MIN,23
11,1,11,KC,44,ARI,21
12,1,12,LV,19,LAC,24
13,1,13,NYG,21,TEN,20
14,1,14,TB,19,DAL,3
15,1,15,DEN,16,SEA,17
0,2,0,LAC,24,KC,27
1,2,1,CAR,16,NYG,19
2,2,2,IND,0,JAC,24
3,2,3,MIA,42,BAL,38
4,2,4,NE,17,PIT,14
5,2,5,NYJ,31,CLE,30
6,2,6,TB,20,NO,10
7,2,7,WAS,27,DET,36
8,2,8,ATL,27,LAR,31
9,2,9,SEA,7,SF,27
10,2,10,ARI,29,LV,23
11,2,11,CIN,17,DAL,20
12,2,12,HOU,9,DEN,16
13,2,13,CHI,10,GB,27
14,2,14,TEN,7,BUF,41
15,2,15,MIN,7,PHI,24
0,3,0,PIT,17,CLE,29
1,3,1,BAL,37,NE,26
2,3,2,BUF,19,MIA,21
3,3,3,CIN,27,NYJ,12
4,3,4,DET,24,MIN,28
5,3,5,HOU,20,CHI,23
6,3,6,KC,17,IND,20
7,3,7,LV,22,TEN,24
8,3,8,NO,14,CAR,22
9,3,9,PHI,24,WAS,8
10,3,10,JAC,38,LAC,10
11,3,11,ATL,27,SEA,23
12,3,12,GB,14,TB,12
13,3,13,LAR,20,ARI,12
14,3,14,SF,10,DEN,11
15,3,15,DAL,23,NYG,16
0,4,0,MIA,15,CIN,27
1,4,1,MIN,28,NO,25
2,4,2,BUF,23,BAL,20
3,4,3,CHI,12,NYG,20
4,4,4,CLE,20,ATL,23
5,4,5,JAC,21,PHI,29
6,4,6,LAC,34,HOU,24
7,4,7,NYJ,24,PIT,20
8,4,8,SEA,48,DET,45
9,4,9,TEN,24,IND,17
10,4,10,WAS,10,DAL,25
11,4,11,ARI,26,CAR,16
12,4,12,DEN,23,LV,32
13,4,13,NE,24,GB,27
14,4,14,KC,41,TB,31
15,4,15,LAR,9,SF,24
