week,game,correct_pts,incorrect_pts,count,average_pick,average_score
1,0,117,65,34,1.53,3.44
1,1,497,0,34,14.62,14.62
1,2,18,223,34,-6.03,0.53
1,3,0,446,34,-13.12,0.0
1,4,174,45,34,3.79,5.12
1,5,164,62,34,3.0,4.82
1,6,330,10,34,9.41,9.71
1,7,306,15,34,8.56,9.0
1,8,3,303,34,-8.82,0.09
1,9,14,354,34,-10.0,0.41
1,10,63,114,34,-1.5,1.85
1,11,305,14,34,8.56,8.97
1,12,162,22,34,4.12,4.76
1,13,2,339,34,-9.91,0.06
1,14,118,33,34,2.5,3.47
1,15,11,295,34,-8.35,0.32
2,0,304,1,28,10.82,10.86
2,1,111,59,31,1.68,3.58
2,2,9,277,31,-8.65,0.29
2,3,25,222,31,-6.35,0.81
2,4,53,154,31,-3.26,1.71
2,5,0,347,31,-11.19,0.0
2,6,238,21,31,7.0,7.68
2,7,76,85,31,-0.29,2.45
2,8,398,0,31,12.84,12.84
2,9,185,32,31,4.94,5.97
2,10,28,190,31,-5.23,0.9
2,11,6,301,31,-9.52,0.19
2,12,327,0,31,10.55,10.55
2,13,218,17,31,6.48,7.03
2,14,392,0,31,12.65,12.65
2,15,54,38,31,0.52,1.74
3,0,173,68,29,3.62,5.97
3,1,308,21,31,9.26,9.94
3,2,48,324,31,-8.9,1.55
3,3,327,14,31,10.1,10.55
3,4,275,50,31,7.26,8.87
3,5,241,35,31,6.65,7.77
3,6,0,433,31,-13.97,0.0
3,7,71,153,31,-2.65,2.29
3,8,55,169,31,-3.68,1.77
3,9,296,18,31,8.97,9.55
3,10,15,312,31,-9.58,0.48
3,11,26,145,31,-3.84,0.84
3,12,31,121,31,-2.9,1.0
3,13,215,8,31,6.68,6.94
3,14,25,102,31,-2.48,0.81
3,15,38,67,31,-0.94,1.23
